Checklist,Clause,Req Name,Details,Project ID,Verification Method
1,15.2,Close Proximity Rear View Mirrors,,SRP8-024,Test
2,15.2.1.4,Object visual testing,Via a means of rear visibility (mirror or RVCS or other) complying with this Regulation; or Via a device of indirect vision (mirror or RVCS or other) complying with this Regulation;,SRP8-024,Test
3,15.2.2,Close Proximity rear view conditions,"The close-proximity rear-view field of vision shall be established using ambinocular vision, the eyes being at the ""driver's ocular points"" as defined in paragraph 12.1. above. The fields of vision shall be determined when the vehicle is in running order as defined in the consolidated Resolution on the Construction of vehicles (R.E.3) (ECE/TRANS/WP.29/78/Rev.6, para. 2.2.5.4.), plus for M1 and N1 vehicles one front seat passenger (75 kg). When established through windows, the glazing shall have a total light transmission factor in accordance with UN Regulation No. 43, Annex 24.
In case of direct view from the driver’s looking back ocular points the vertical position of rear seat headrests shall be set at the designed position of assumed to use or the highest position if the headrest has multiple position settings or at the position agreed with the Technical Service.",SRP8-024,Test
4,15.2.3,Combination of visibility condition,"In the case of a combination of means of rear visibility or detection, each entire transverse row of test objects shall be seen by one of these means. The close-proximity rear-view field of vision shall be obtained from the minimum number of mirrors and monitors.",SRP8-024,Demonstration
5,15.3.1,Field of detection,,SRP8-024,
6,15.4.1.1,Position for devices for reversing motion,"Devices for means of rear visibility or detection shall be so placed that the driver, when sitting on the driving seat in a normal driving position, has a clear view of the road to the rear, side(s) or front of the vehicle.",SRP8-024,
7,15.4.1.3,Position for devices for reversing motion,Devices for means of rear visibility or detection shall not project beyond the external bodywork of the vehicle substantially more than is necessary to comply with the requirements concerning fields of vision or fields of detection.,SRP8-024,
8,15.4.1.4,Position for devices for reversing motion,Devices for means of rear visibility or detection shall be fitted in such a way that the devices do not move so as significantly to change the field of vision or detection as measured or vibrate to an extent which would cause the driver to misinterpret the nature of the image perceived.,SRP8-024,
9,16.1,Default view considerations,"In default view the RVCS shall show the field of view at least as defined in paragraph 15.2.
The RVCS must default to the rear-view image at the beginning of each backing event regardless of any modifications to the field of view that the driver has previously selected.",SRP8-024,
10,16.1.1,Test object size considerations,"When the Rear-view image is measured in accordance with the paragraphs 3. of Annex 9, the calculated visual angle subtended by the horizontal width of:
(a) All three test objects at the last row specified in 15.2 shall average not less than 5 minutes of arc; and
(b) Each individual test object shall not be less than 3 minutes of arc.",SRP8-024,
11,16.1.1.1,Luminance and contrast adjustment,"If manual adjustment is provided, the operator's manual shall provide information on how to change the luminance/contrast.",SRP8-024,
12,16.1.1.2,Overlay requirements within the required field of vision,"Overlays shall display only rearward driving-related visual information or safety-related information. Overlays for other purposes of information in the required field of vision are not allowed.
Manually activated overlays are allowed, only when the driver needs to activate a rearward driving-related function or safety-related function (e.g. cleaning of the lens or activation of trailer hitch view) or requires specific information in such an environment. The driver may have an option to close the overlay.",SRP8-024,
13,16.1.1.3,Deactivation,"The rear-view image shall remain visible during the backing event until either, the driver modifies the view, or the vehicle direction selector is no longer in the reverse position or the backing event is finished.
Modifying the view means to switch to any other camera views.
The view can be manually switched off when the vehicle is not moving rearward.
The system may be switched off when the vehicle detects a coupling by means of a coupling device.",SRP8-024,
14,16.1.1.4,Automatic change of view,"When there is a risk of collision, the field of view may change and focus on the collision area. It shall be demonstrated to the Technical Service that this change of view increases the safety.
When the vehicle is not driving straight, the field of view may change following the vehicle trajectory.",SRP8-024,
15,16.1.2,Operating readiness (System availability),"Non-operation of the system shall be recognizable to the driver (e.g. RVCS failure by, i.e. warning indication, display information, black screen, absence of status indicator). The information for the driver shall be explained in the operator's manual.",SRP8-024,
16,16.1.2.1,Response time,"The rear-view image meeting the requirements described in 15.2. shall be provided within a maximum of 2.0 seconds after start of the backing event, when tested according to paragraphs 2. of Annex 9.",SRP8-024,
17,16.1.3.1,Monitor inside the vehicle,The monitor defined size shall be visible without any obstruction from the ocular reference point. A virtual testing is acceptable.,SRP8-024,
18,16.1.4,Rear vision device indirect vision obstruction considerations,Obstruction of the driver's direct view caused by the installation of a device for indirect vision shall be restricted to a minimum.,SRP8-024,
19,16.4,External Factors considerations,"The effectiveness of the RVCS shall not be adversely affected by magnetic or electrical fields. This shall be demonstrated by compliance with the technical requirements and transitional provisions of UN Regulation No. 10, 05 series of amendments or any later series of amendments.",SRP8-024,
20,17.1,System activation,"The system shall be activated when the backing event starts. If proper functioning cannot be effected, either the system shall automatically shut off or the driver shall be able to deactivate the system manually.
The detection system shall remain active as long as either the vehicle direction selector is in the reverse position or the backing event is not ended.
In case the vehicle can detect coupling with a coupling device, the system may be switched off.",SRP8-024,
21,17.2.1,Driver interface and information presentation strategy,"The system shall have at least two kinds of information signal selected from audible, optical, and haptics.",SRP8-024,
22,17.2.2,Audible information,"When an object is detected in the rear horizontal area as described in paragraph 1.3. of Annex 10. while the reverse gear is selected/engaged, audible information in accordance with ISO 15006:2011 shall be given.
In presenting audible information, the distance to the target may be identified by two or more acoustic signals. These acoustic signals, differentiating distances and detection widths, may be indicated by changing the frequency of the intermittent sound. A faster intermittent sound or continuous sound shall be used as the distance becomes closer.",SRP8-024,
23,17.2.3,Duration of signalling,"Signalling for an object shall last as long as the object is detected and shall end when the object is no longer detected or when the system is deactivated.
To reduce the driver's discomfort, the audible signal can be automatically suspended temporarily after a certain time set by the manufacturer has elapsed, provided that the system remains activated. If, while the audible signal is automatically suspended temporarily, the distance to the object becomes shorter, the audible signal shall be automatically resumed. If the distance to the object becomes longer, the audible signal may remain suspended.",SRP8-024,
24,17.2.4,Optical information,"In the case optical information is placed on a monitor used for other information such as meter cluster display or other displays, overlay is allowed and shall comply with the overlay requirements of the RVCS in 16.1.1.2. of this Regulation.",SRP8-024,
25,17.2.5,Operating readiness (System availability),"Non-operation of the system shall be recognizable to the driver (e.g. Detection system failure by, i.e. warning indication, display information, black screen, absence of status indicator). The information for the driver shall be explained in the operator's manual.",SRP8-024,
26,17.3.1,Performance of object detection,"Response time
At least one of the audible or haptic information signals that meets the requirements as described in 17.2., shall be given to the driver within a maximum of 0.6 seconds after the start of the backing event, when tested according to paragraph 2. of Annex 10.",SRP8-024,
27,17.4,External Factors considerations,"The effectiveness of the detection system shall not be adversely affected by magnetic or electrical fields. This shall be demonstrated by compliance with the technical requirements and transitional provisions of UN Regulation No. 10, 05 series of amendments or any later series of amendments.",SRP8-024,
