Checklist,Clause,Req Name,Details,Project ID,Verification Method
122,6.1,General Specifications,,SRP8-034,
1,6.1.1,Sample conformity,"Each sample submitted in conformity with paragraphs 3.2.2.2., 3.2.2.3. and 3.2.2.4. above shall meet the specifications set forth in paragraph 6. of this Regulation.",SRP8-034,N/A
2,6.1.2,Safe General Design,"The belt or the restraint system shall be so designed and constructed that, when correctly installed and properly used by an occupant, its satisfactory operation is assured and it reduces the risk of bodily injury in the event of an accident.",SRP8-034,inspection
3,6.1.3,Strap configuration safety,"The belt or the restraint system shall be so designed and constructed that, when correctly installed and properly used by an occupant, its satisfactory operation is assured and it reduces the risk of bodily injury in the event of an accident.",SRP8-034,inspection
4,6.1.4,Polyamide 6 prohibition,The use of materials with properties of polyamide 6 as regards water retention is prohibited in all mechanical parts for which such a phenomenon is likely to have an adverse effect on their operation.,SRP8-034,inspection
123,6.2,Rigid Parts,,SRP8-034,
124,6.2.1,General,,SRP8-034,
5,6.2.1.1,Sharp Edges on rigid parts,"The rigid parts of the safety-belt, such as buckles, adjusting devices, attachments and the like, shall not have sharp edges liable to cause wear or breakage of the straps by chafing.",SRP8-034,inspection
6,6.2.1.2,Corrosion Resistance,"All parts of the belt assembly liable to be affected by corrosion shall be suitably protected against it. After undergoing the corrosion test prescribed in paragraph 7.2. below, neither signs of deterioration likely to impair the proper functioning of the device nor any significant corrosion shall be visible to the unaided eye of a qualified observer.",SRP8-034,ADR Testing Procedure
7,6.2.1.3,Fragility of rigid parts,Rigid parts intended to absorb energy or to be subjected to or to transmit a load shall not be fragile.,SRP8-034,inspection
8,6.2.1.4 Pt 1,Trapped under moveable seat,"The rigid items and parts made of plastics of a safety-belt shall be so located and installed that they are not liable, during every day use of a power-driven vehicle, to become trapped under a moveable seat or in a door of that vehicle.",SRP8-034,inspection
9,6.2.1.4 Pt 2,Cold Impact Test (Conditional on above),"If any of these items and parts do not comply with the above conditions, they shall be subjected to the cold impact test specified in paragraph 7.5.4. below. After the test, if any visible cracks are present in any plastic cover or retainer of rigid item, the complete plastic part shall then be removed and the remaining assembly shall then be assessed against its continued security.",SRP8-034,ADR Testing Procedure
10,6.2.1.4 Pt 3,Further Assessment of trapped parts (Conditional on above 2),"If the remaining assembly is still secure, or no visible cracks are present, it will then be further assessed against the test requirements specified in paragraphs 6.2.2., 6.2.3. and 6.4. below.",SRP8-034,ADR Testing Procedure
125,6.2.2,Buckle,,SRP8-034,
11,6.2.2.1 Pt 1,Buckle intended use,"The buckle shall be so designed as to preclude any possibility of incorrect use. This means, inter alia, that it shall not be possible for the buckle to be left in a partially-losed condition. The procedure for opening the buckle shall be evident. The parts of the buckle likely to contact the body of the wearer shall present a section of not less than 20 cmP2P and at least 46 mm in width, measured in a plane situated at a maximal distance of 2.5 mm from the contact surface.",SRP8-034,inspection
12,6.2.2.1 Pt 2,Buckle intended use (harness case),"In the case of harness belt buckles, the latter requirement shall be regarded as satisfied if the contact area of the buckle with the wearer's body is comprised between 20 and 40 cm2.",SRP8-034,inspection
13,6.2.2.2 Pt 1,Buckle Closed Conditions,"The buckle, even when not under tension, shall remain closed whatever the position of the vehicle. It shall not be possible to release the buckle inadvertently, accidentally or with a force of less than 1 daN.",SRP8-034,Test
14,6.2.2.2 Pt 2,Buckle Release Conditions,"The buckle shall be easy to use and to grasp; when it is not under tension and when under the tension specified in paragraph 7.8.2. below, it shall be capable of being released by the wearer with a single simple movement of one hand in one direction; in addition, in the case of belt assemblies intended to be used for the front outboard seats, except in these harness belts, it shall also be capable of being engaged by the wearer with a simple movement of one hand in one direction. The buckle shall be released by pressing either a button or a similar device.",SRP8-034,Inspection
15,6.2.2.2 Pt 3,Buckle Dimension & Specifications,"The surface to which this pressure is applied shall have the following dimensions, with the button in the actual release position and when projected into a plane perpendicular to the button's initial direction of motion: for enclosed buttons, an area of not less than 4.5 cm2 and a width of not less than 15 mm; for non enclosed buttons, an area of not less than 2.5 cm2 and a width of not less than 10 mm. The buckle release area shall be coloured red. No other part of the buckle shall be of this color.",SRP8-034,inspection
16,6.2.2.2 Pt 4,Lights near buckles,"When the seat is occupied, a red warning light as part of the buckle shall be permitted, if it is switched off by the action of buckling the seat belt. Lights illuminating the buckle in a colour other than red are not required to be switched off by the action of buckling the seat belt. These lights shall not illuminate the buckle in such a way that the perception of the red colour of the buckle release or the red of the warning light is affected.",SRP8-034,inspection
17,6.2.2.3,Buckle Operation Test,"The buckle, when tested in accordance with paragraph 7.5.3. below, shall operate normally.",SRP8-034,ADR Testing Procedure
18,6.2.2.4,Buckle Repeated Operation Test,"The buckle shall be capable of withstanding repeated operation and, prior to the dynamic test specified in paragraph 7.7. below shall undergo 5,000 opening and closing cycles under normal conditions of use. In the case of harness belt buckles, this test may be carried out without all the tongues being introduced.",SRP8-034,ADR Testing Procedure
19,6.2.2.5,Buckle Force Maximum,The force required to open the buckle in the test as prescribed in paragraph 7.8. below shall not exceed 6 daN.,SRP8-034,ADR Testing Procedure
20,6.2.2.6 Pt 1,Strength Test 7.5.1,"The buckle shall be tested for strength as prescribed in paragraphs 7.5.1. and, where appropriate, 7.5.5. below. It shall not break, be seriously distorted or become detached under the tension set up by the prescribed load.",SRP8-034,ADR Testing Procedure
21,6.2.2.6 Pt 2,Strength Test 7.5.5,"The buckle shall be tested for strength as prescribed in paragraphs 7.5.1. and, where appropriate, 7.5.5. below. It shall not break, be seriously distorted or become detached under the tension set up by the prescribed load.",SRP8-034,ADR Testing Procedure
22,6.2.2.7 Pt 1,Strength and Release Test 7.7,"In the case of buckles which incorporate a component common to two assemblies, the strength and release tests of paragraphs 7.7. and 7.8. below shall also be carried out with the part of the buckle pertaining to one assembly being engaged in the mating part pertaining to the other, if it is possible for the buckle to be so assembled in use.",SRP8-034,ADR Testing Procedure
23,6.2.2.7 Pt 2,Strength and Release Test 7.8,"In the case of buckles which incorporate a component common to two assemblies, the strength and release tests of paragraphs 7.7. and 7.8. below shall also be carried out with the part of the buckle pertaining to one assembly being engaged in the mating part pertaining to the other, if it is possible for the buckle to be so assembled in use.",SRP8-034,ADR Testing Procedure
126,6.2.3,Belt Adjusting Device,,SRP8-034,
24,6.2.3.1,General Adjustment,"The belt after being put on by the wearer, shall either adjust automatically to fit him or be such that the manually adjusting device shall be readily accessible to the seated wearer and shall be convenient and easy to use. It shall also allow the belt to be tightened with one hand to suit the wearer's body size and the position of the vehicle seat.",SRP8-034,Demonstration
