Checklist,Clause,Req Name,Details,Project ID,Verification Method
54,,,GENERAL SPECIFICATIONS,,
1,5.2,Headlamp Photometric charateristics,"Headlamps shall be so made as to retain their prescribed photometric characteristics and to remain in good working order when in normal use, in spite of the vibrations to which they may be subjected",SRP8-012,Test
2,5.2,Headlamp Photometric charateristics,"Headlamps shall be so made as to retain their prescribed photometric characteristics and to remain in good working order when in normal use, in spite of the vibrations to which they may be subjected",SRP8-141,
3,5.3,Headlamp adjusting device,"Headlamps shall be fitted with a device enabling them to be so adjusted on the vehicle as to comply with the rules applicable to them. Such a device need not be fitted on components in which the reflector and the diffusing lens cannot be separated provided the use of such units is confined to vehicles on which the headlamps setting can be adjusted by other means. Where a headlamp providing a driving beam and a headlamp providing a passing beam, each equipped with its own filament lamp, are assembled to form a composite unit, the adjusting device shall enable each optical system individually to be duly adjusted.
However, this shall not apply to headlamps assemblies whose reflectors are indivisible. For this type of assembly, the requirements of Paragraph 6 shall apply.",SRP8-012,Inspection
4,5.3,Headlamp adjusting device,"Headlamps shall be fitted with a device enabling them to be so adjusted on the vehicle as to comply with the rules applicable to them. Such a device need not be fitted on components in which the reflector and the diffusing lens cannot be separated provided the use of such units is confined to vehicles on which the headlamps setting can be adjusted by other means. Where a headlamp providing a driving beam and a headlamp providing a passing beam, each equipped with its own filament lamp, are assembled to form a composite unit, the adjusting device shall enable each optical system individually to be duly adjusted.
However, this shall not apply to headlamps assemblies whose reflectors are indivisible. For this type of assembly, the requirements of Paragraph 6 shall apply.",SRP8-141,
5,5.4,Filament lamp orientation,,SRP8-141,
6,5.4,Filament lamp orientation,,SRP8-012,Inspection
7,5.6,Headlamp Phtometric Perfromance,Complementary tests shall be done according to the requirements of Annex 4 to ensure that in use there is no excessive change in photometric performance,SRP8-141,
8,5.6,Headlamp Phtometric Perfromance,Complementary tests shall be done according to the requirements of Annex 4 to ensure that in use there is no excessive change in photometric performance,SRP8-012,Test
9,5.8,Headlamp Lens material test,"If the lens of the headlamp is of plastic material, tests shall be done according to the requirements of Annex 7",SRP8-012,Test
10,5.8,Headlamp Lens material test,"If the lens of the headlamp is of plastic material, tests shall be done according to the requirements of Annex 7",SRP8-141,
55,,,ILLUMINATION,,
12,6.1,Healamp Filiment adequte illumination,Headlamps shall be so made that with suitable R2 and/or HS1 filament lamp(s) they provide adequate illumination without dazzle in the case of passing beam and good illumination in the case of the driving beam.,SRP8-012,Test
13,6.1,Healamp Filiment adequte illumination,Headlamps shall be so made that with suitable R2 and/or HS1 filament lamp(s) they provide adequate illumination without dazzle in the case of passing beam and good illumination in the case of the driving beam.,SRP8-141,
14,6.1.1,Headlamp illumination checking,The illumination produced by the headlamp shall be checked on a vertical screen set at a distance of 25 m in front of the headlamp and at right angles to its axis (see annex 6).,SRP8-012,Test
15,6.1.1,Headlamp illumination checking,The illumination produced by the headlamp shall be checked on a vertical screen set at a distance of 25 m in front of the headlamp and at right angles to its axis (see annex 6).,SRP8-141,
16,6.1.2,Headlamp light transmission factor,,SRP8-012,Test
17,6.1.2,Headlamp light transmission factor,,SRP8-141,
18,6.1.3,Filament and Shield Positioning,"The dimensions determining the position of the filament(s) and the shield inside
the standard filament lamp are shown on the relevant data sheet of Regulation No.
37.",SRP8-012,Analysis
19,6.1.3,Filament and Shield Positioning,"The dimensions determining the position of the filament(s) and the shield inside
the standard filament lamp are shown on the relevant data sheet of Regulation No.
37.",SRP8-141,
20,6.1.4,Headlamp bulb shape,The bulb of the standard filament lamp shall be of such optical shape and quality that it does not cause any reflection or refraction adversely affecting the light distribution. Compliance with this requirement shall be checked by measuring the light distribution obtained when a standard headlamp is fitted with the standard (etalon) filament lamp,SRP8-012,Test
21,6.1.4,Headlamp bulb shape,The bulb of the standard filament lamp shall be of such optical shape and quality that it does not cause any reflection or refraction adversely affecting the light distribution. Compliance with this requirement shall be checked by measuring the light distribution obtained when a standard headlamp is fitted with the standard (etalon) filament lamp,SRP8-141,
22,6.2,Passing Beam Boundary Parametres General,"The passing beam must produce a sufficiently sharp ""cut-off"" to permit satisfactory adjustment with its aid. The ""cut-off"" must be a horizontal straight line on the side opposite to the direction of the traffic for which the headlamp is intended; on the other side it should be horizontal or within an angle of 15 degrees above the horizontal. The headlamp shall be so adjusted that:",SRP8-012,Test
23,6.2,Passing Beam Boundary Parametres General,"The passing beam must produce a sufficiently sharp ""cut-off"" to permit satisfactory adjustment with its aid. The ""cut-off"" must be a horizontal straight line on the side opposite to the direction of the traffic for which the headlamp is intended; on the other side it should be horizontal or within an angle of 15 degrees above the horizontal. The headlamp shall be so adjusted that:",SRP8-141,
24,6.2.1,Left hand Traffic Passing Beam Boundary Parametres,"In the case of headlamps designed to meet the requirements of right-hand traffic, the ""cut-off"" on the left half of the screen (The adjustment screen should be sufficiently wide to allow examination of the ""cut-off"" over a range of at least
5 degrees from the line vv) is horizontal and, in the case of headlamps designed to meet the requirements of left-hand traffic, the ""cut-off"" on the right half of the screen is horizontal;",SRP8-012,Test
25,6.2.1,Left hand Traffic Passing Beam Boundary Parametres,"In the case of headlamps designed to meet the requirements of right-hand traffic, the ""cut-off"" on the left half of the screen8 is horizontal and, in the case of headlamps designed to meet the requirements of left-hand traffic, the ""cut-off"" on the right half of the screen is horizontal;",SRP8-141,
26,6.2.2,Passing Beam Boundary Parametres Horizontal plane,"This horizontal part of the ""cut-off"" is situated on the screen 25 cm below the outline of the horizontal plane passing through the focus of the headlamp (See Annex 6 to this Regulation);",SRP8-012,Test
27,6.2.2,Passing Beam Boundary Parametres Horizontal plane,"This horizontal part of the ""cut-off"" is situated on the screen 25 cm below the outline of the horizontal plane passing through the focus of the headlamp (See Annex 6 to this Regulation);",SRP8-141,
